author_channel_id,author_display_name,network_community,behavior_cluster,persona
UCHJHpiqIafm3IsEze0zfgeg,@snizhanaosypenko1369,29,3,Casual Viewer
UCvMyHOmjEwwPkVz6y02969g,@JerickChen-d4,29,3,Casual Viewer
UCDMk-5QQyfSkn502akP6aJA,@francoistm,29,3,Casual Viewer
UCqzFs0h4HYG24DykIj_8O0A,@nashit_hasan_fitness,29,3,Casual Viewer
UC_3FZXHIRa1gs3vmOiqZZEw,@notyourhomboi,29,3,Casual Viewer
UCWcTzH9R2tZ1eh5HVoV4d9w,@ogaquora,29,3,Casual Viewer
UCQHv5h9ST8PS5-eDHsAD6-w,@NaoufalMaruan-f9k,30,3,Casual Viewer
UCw5BxMvPDjfrxpQZOpHaIkg,@kakanyerodeogratious580,30,3,Casual Viewer
UCgcTsFEOGtrTVjCfHsbOjwg,@ThomasNarvaez-f4l,30,3,Casual Viewer
UCGGjvFCoZv_KBrZcc164tZg,@shanakajayalath3026,30,0,Casual Viewer
UCmAYvx6JPHuXF1fVi6i-OlA,@Life_with_Darnell,30,3,Casual Viewer
UCIX-hiYQRZNPVbZc74x203Q,@조용규-o3e,30,3,Casual Viewer
UCX-3LRtmersYc_Jv824Z5oQ,@MrGaliho,32,0,Casual Viewer
UCC4iTQKqpwbKBqVVjpBJDgA,@nobodyI369,32,3,Casual Viewer
UCRc8CLbSd0llI8CejVm2HRQ,@neurodivtries4101,27,2,Casual Viewer
UCy5EyRAYlWRoDchj8L4u4tg,@weidjwepidjiowendowed,32,3,Casual Viewer
UCZtNwuEHlXWSdUEu2nPclCA,@bedynamic8038,32,3,Casual Viewer
UCxp5DlDCJgpiO2xumhA0UDw,@nguyentrinh793,34,3,Casual Viewer
UCWKKF3uJHDAbBW4OOWT99lQ,@CryptSphereDaily,34,3,Casual Viewer
UCz0n12YYzYRA4T2R3kTdFSw,@helenh6636,34,3,Casual Viewer
UC0WxgeqTJKR_Mg6ZJl4W4HA,@DavidLockett-x4b,35,3,Casual Viewer
UCUyZUmXqAtvtruWWhw7nLzw,@Eva23563,35,3,Casual Viewer
UCSK6MeHxtCoZzt4eozixVYQ,@SunitaSharma-to1ph,35,3,Casual Viewer
UCTeHtTukd3KNRRiX2DFnJ2Q,@ajju5450,35,3,Casual Viewer
UC-x4Rhw86BQ2zwYOs_dAKXw,@HISOKAHISOKA-j1v,38,3,Casual Viewer
UCymzhDHcgE2LASFfjqalpqg,@andy_nvrmnd,35,2,Casual Viewer
UCBhwUtIsbRMijyvNUl0Kn8Q,@WilliamTarabalka-t5k,38,3,Casual Viewer
UC41ul-bGT9PdlEArF4AWLiQ,@blakeporush1193,38,3,Casual Viewer
UCdif_ApNKk-n8tAV8y3zTEg,@heyvarsha,38,3,Casual Viewer
UC4wRzMnqkzK8hgR6zxTmMCg,@sadboy-nk8bn,34,2,Casual Viewer
UC9uaam-AClrl9LRH6aPBVbA,@파일럿,39,3,Casual Viewer
